Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,label
192.168.220.130-192.168.220.1-80-57678-6,192.168.220.1,57678,192.168.220.130,80,6,28-04-2025 15:27,2004319,4,6,0,0,0,0,0,0,0,0,0,0,0,4.989225767,222702.1111,264012.995,501911,17,1504007,501335.6667,713.7186654,501944,500550,2004319,400863.8,224081.3185,501993,17,0,0,0,0,128,132,1.995690307,2.99353546,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-192.168.220.1-80-58373-6,192.168.220.1,58373,192.168.220.130,80,6,28-04-2025 15:27,2004800,4,6,0,0,0,0,0,0,0,0,0,0,0,4.988028731,222755.5556,264049.6112,502528,9,1503992,501330.6667,1262.157808,502699,500212,2004800,400960,224140.1402,502604,9,0,0,0,0,128,132,1.995211492,2.992817239,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-192.168.220.1-80-58612-6,192.168.220.1,58612,192.168.220.130,80,6,28-04-2025 15:27,2002923,4,6,0,0,0,0,0,0,0,0,0,0,0,4.992703164,222547,263770.2754,500692,33,1502005,500668.3333,236.1150849,500852,500402,2002923,400584.6,223915.2068,500865,33,0,0,0,0,128,132,1.997081266,2.995621899,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-192.168.220.2-51987-53-17,192.168.220.130,51987,192.168.220.2,53,17,28-04-2025 15:47,21411,1,3,42,199,42,42,42,0,99,42,66.33333333,29.39954648,11255.8965,186.819859,7137,12170.74759,21190,1,0,0,0,0,0,21411,10705.5,15138.44908,21410,1,0,0,0,0,8,24,46.70496474,140.1148942,42,99,56.6,24.69412886,609.8,0,0,0,0,0,0,0,0,3,70.75,42,66.33333333,0,0,0,0,0,0,1,42,3,199,-1,-1,1,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.1-80-58636-6,192.168.220.1,58636,192.168.220.130,80,6,28-04-2025 15:27,2003223,4,6,0,0,0,0,0,0,0,0,0,0,0,4.991955464,222580.3333,263877.6322,501313,24,1501850,500616.6667,588.5629391,501091,499958,2003223,400644.6,223954.2251,501346,24,0,0,0,0,128,132,1.996782186,2.995173278,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-192.168.220.2-52328-53-17,192.168.220.130,52328,192.168.220.2,53,17,28-04-2025 15:49,18305,1,3,30,178,30,30,30,0,86,30,59.33333333,28.09507667,11363.01557,218.5195302,6101.666667,9632.767325,17218,211,0,0,0,0,0,18305,9152.5,11704.73855,17429,876,0,0,0,0,8,24,54.62988255,163.8896476,30,86,47.6,25.54995108,652.8,0,0,0,0,0,0,0,0,3,59.5,30,59.33333333,0,0,0,0,0,0,1,30,3,178,-1,-1,1,0,0,0,0,0,0,0,0,0,normal,0
175.100.184.18-192.168.220.130-80-35080-6,192.168.220.130,35080,175.100.184.18,80,6,28-04-2025 15:46,117937520,20,19,1248,2669,416,0,62.4,152.4005802,890,0,140.4736842,333.2997264,33.21250099,0.330683569,3103618.947,4615599.687,10200000,61,118000000,6206705.684,4844338.378,10200000,440,118000000,6552084.444,4987389.807,11100000,1102,0,0,0,0,400,404,0.169581317,0.161102251,0,890,97.925,253.6966074,64361.96859,0,1,0,0,0,0,0,0,0,100.4358974,62.4,140.4736842,0,0,0,0,0,0,20,1248,19,2669,-1,64240,3,0,534154.1818,977199.1601,3192199,226,10200000,93518.31135,10200000,10000000,normal,0
175.100.184.18-192.168.220.130-80-53942-6,175.100.184.18,80,192.168.220.130,53942,6,28-04-2025 15:48,8683,1,1,0,0,0,0,0,0,0,0,0,0,0,230.3351376,8683,0,8683,8683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,115.1675688,115.1675688,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.2-58758-53-17,192.168.220.130,58758,192.168.220.2,53,17,28-04-2025 15:49,38333,1,3,35,253,35,35,35,0,119,35,84.33333333,43.87862046,7513.10881,104.3487335,12777.66667,12577.69201,25577,434,0,0,0,0,0,38333,19166.5,9679.584728,26011,12322,0,0,0,0,8,24,26.08718337,78.2615501,35,119,64.6,41.14365079,1692.8,0,0,0,0,0,0,0,0,3,80.75,35,84.33333333,0,0,0,0,0,0,1,35,3,253,-1,-1,1,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.1-80-59328-6,192.168.220.1,59328,192.168.220.130,80,6,28-04-2025 15:27,2003910,4,6,0,0,0,0,0,0,0,0,0,0,0,4.990244073,222656.6667,263984.1394,501312,10,1503110,501036.6667,446.4552982,501347,500525,2003910,400782,224038.6378,501345,10,0,0,0,0,128,132,1.996097629,2.994146444,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-18.66.41.25-42998-443-6,192.168.220.130,42998,18.66.41.25,443,6,28-04-2025 15:49,86653,19,22,1055,81094,517,0,55.52631579,132.747617,17280,0,3686.090909,4768.353174,948022.5728,473.1515354,2166.325,4490.831014,18070,0,69802,3877.888889,5440.684871,19583,63,86548,4121.333333,5645.762467,18070,0,0,0,0,0,380,464,219.2653457,253.8861897,0,17280,1955.928571,3876.44257,15000000,0,1,0,0,0,0,0,0,1,2003.634146,55.52631579,3686.090909,0,0,0,0,0,0,19,1055,22,81094,-1,64240,5,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.2-54792-53-17,192.168.220.130,54792,192.168.220.2,53,17,28-04-2025 15:47,16921,1,3,33,143,33,33,33,0,61,33,47.66666667,14.04753834,10401.27652,236.3926482,5640.333333,7892.040568,14681,128,0,0,0,0,0,16921,8460.5,8978.134801,14809,2112,0,0,0,0,8,24,59.09816205,177.2944861,33,61,41.8,12.77497554,163.2,0,0,0,0,0,0,0,0,3,52.25,33,47.66666667,0,0,0,0,0,0,1,33,3,143,-1,-1,1,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.1-80-60712-6,192.168.220.1,60712,192.168.220.130,80,6,28-04-2025 15:27,2005943,4,6,0,0,0,0,0,0,0,0,0,0,0,4.985186518,222882.5556,264242.4768,501853,17,1504395,501465,440.8038112,501951,501091,2005943,401188.6,224261.8859,501871,17,0,0,0,0,128,132,1.994074607,2.991111911,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
173.194.140.200-192.168.220.130-443-39948-6,192.168.220.130,39948,173.194.140.200,443,6,28-04-2025 15:47,1073606,8,9,1986,5825,1381,0,248.25,490.7861769,3216,0,647.2222222,1117.891517,7275.480949,15.83448677,67100.375,148676.1507,519862,33,814974,116424.8571,203183.2102,525050,859,1073352,134169,192591.9455,519862,847,0,0,0,0,160,204,7.451523184,8.382963583,0,3216,433.9444444,859.4493088,738653.1144,0,1,0,0,0,0,0,0,1,459.4705882,248.25,647.2222222,0,0,0,0,0,0,8,1986,9,5825,-1,64240,4,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.1-80-61048-6,192.168.220.1,61048,192.168.220.130,80,6,28-04-2025 15:27,2003710,4,6,0,0,0,0,0,0,0,0,0,0,0,4.990742173,222634.4444,263897.0158,501468,17,1502119,500706.3333,626.9579997,501319,500066,2003710,400742,223963.1411,501608,106,0,0,0,0,128,132,1.996296869,2.994445304,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-192.168.220.1-80-58698-6,192.168.220.1,58698,192.168.220.130,80,6,28-04-2025 15:27,2010754,4,6,0,0,0,0,0,0,0,0,0,0,0,4.973258787,223417.1111,264839.4005,504965,35,1507789,502596.3333,2232.470455,505174,501282,2010754,402150.8,224794.5706,505001,35,0,0,0,0,128,132,1.989303515,2.983955272,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-23.9.220.6-38718-80-6,192.168.220.130,38718,23.9.220.6,80,6,28-04-2025 15:47,115480628,16,15,416,871,416,0,26,104,871,0,58.06666667,224.891233,11.14472637,0.268443292,3849354.267,4949571.352,10200000,142,115000000,7697890.6,4360349.677,10200000,906,114000000,8109140.286,4396215.741,11100000,1682,0,0,0,0,320,324,0.138551377,0.129891916,0,871,40.21875,168.4785301,28385.01512,0,1,0,0,0,0,0,0,0,41.51612903,26,58.06666667,0,0,0,0,0,0,16,416,15,871,-1,64240,1,0,95563.27273,308001.915,1023967,142,10200000,49599.05116,10200000,10100000,normal,0
188.245.96.240-192.168.220.130-443-59400-6,192.168.220.130,59400,188.245.96.240,443,6,28-04-2025 15:49,12377579,13,14,3777,9009,1251,0,290.5384615,467.8200536,3434,0,643.5,1080.09136,1032.99684,2.181363577,476060.7308,1956138.075,10000000,11,12200000,1020314.667,2845241.31,10000000,499,12400000,952121.4615,3031427.846,11000000,203,0,0,0,0,260,304,1.050286167,1.13107741,0,3434,456.6428571,835.5094349,698076.0159,0,1,0,0,0,0,0,0,1,473.5555556,290.5384615,643.5,0,0,0,0,0,0,13,3777,14,9009,-1,64240,5,0,1345219,0,1345219,1345219,10000000,0,10000000,10000000,normal,0
192.168.220.130-192.168.220.1-80-62875-6,192.168.220.1,62875,192.168.220.130,80,6,28-04-2025 15:28,2005723,4,6,0,0,0,0,0,0,0,0,0,0,0,4.985733324,222858.1111,264231.8943,502009,31,1504992,501664,357.6464735,502065,501378,2005723,401144.6,224227.6123,502046,35,0,0,0,0,128,132,1.99429333,2.991439994,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.1-224.0.0.252-62515-5355-17,192.168.220.1,62515,224.0.0.252,5355,17,28-04-2025 15:47,411528,1,1,24,24,24,24,24,0,24,24,24,0,116.638479,4.859936626,411528,0,411528,411528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.429968313,2.429968313,24,24,24,0,0,0,0,0,0,0,0,0,0,1,36,24,24,0,0,0,0,0,0,1,24,1,24,-1,-1,1,0,0,0,0,0,0,0,0,0,normal,0
142.250.192.74-192.168.220.130-443-54028-6,192.168.220.130,54028,142.250.192.74,443,6,28-04-2025 15:46,1594319,757,881,1504,6944668,611,0,1.98678996,29.90239563,43772,0,7882.710556,6640.540959,4356826.959,1027.397905,973.927306,6708.853853,223587,0,1583389,2094.429894,9826.057855,223587,44,1593682,1811.002273,9309.804465,224537,0,0,0,0,0,15140,17644,474.8108754,552.5870293,0,43772,4238.054912,6256.151965,39100000,0,1,0,0,0,0,0,0,1,4240.642247,1.98678996,7882.710556,0,0,0,0,0,0,757,1504,881,6944668,-1,64240,8,0,0,0,0,0,0,0,0,0,normal,0
175.100.184.18-192.168.220.130-80-35080-6,192.168.220.130,35080,175.100.184.18,80,6,28-04-2025 15:49,12192691,2,3,0,0,0,0,0,0,0,0,0,0,0,0.410081745,3048172.75,4879622.45,10200000,226,1956754,1956754,0,1956754,1956754,10200000,5118108,7237778.135,10200000,226,0,0,0,0,40,60,0.164032698,0.246049047,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,-1,64240,0,0,226,0,226,226,10200000,0,10200000,10200000,normal,0
192.168.220.130-192.168.220.1-80-60643-6,192.168.220.1,60643,192.168.220.130,80,6,28-04-2025 15:27,2003869,4,6,0,0,0,0,0,0,0,0,0,0,0,4.990346175,222652.1111,264000.85,501385,7,1503619,501206.3333,187.163921,501412,501046,2003869,400773.8,224035.8856,501422,7,0,0,0,0,128,132,1.99613847,2.994207705,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-216.239.38.181-48422-443-17,192.168.220.130,48422,216.239.38.181,443,17,28-04-2025 15:49,118326,9,12,445,9137,108,34,49.44444444,23.7860837,1357,27,761.4166667,640.3343528,80979.66635,177.4757872,5916.3,7907.661748,23990,0,88763,11095.375,10108.76792,24933,113,118326,10756.90909,12614.051,33007,0,0,0,0,0,72,96,76.06105167,101.4147356,27,1357,497.2272727,613.1954502,376008.6602,0,0,0,0,0,0,0,0,1,520.9047619,49.44444444,761.4166667,0,0,0,0,0,0,9,445,12,9137,-1,-1,9,0,0,0,0,0,0,0,0,0,normal,0
151.101.65.91-192.168.220.130-443-33574-6,192.168.220.130,33574,151.101.65.91,443,6,28-04-2025 15:47,116966304,12,15,1054,4676,446,0,87.83333333,133.2317416,4017,0,311.7333333,1028.548663,48.98846765,0.230835711,4498704,15900000,58500000,1,117000000,10600000,23600000,58500000,116,117000000,8354728.786,21200000,58500000,1,0,0,0,0,240,324,0.10259365,0.128242062,0,4017,204.6428571,754.8281244,569765.4974,0,1,0,0,0,0,0,0,1,212.2222222,87.83333333,311.7333333,0,0,0,0,0,0,12,1054,15,4676,-1,64240,7,0,63353,76211.96888,117243,9463,58400000,104613.6198,58500000,58300000,normal,0
142.251.220.10-192.168.220.130-443-45099-17,192.168.220.130,45099,142.251.220.10,443,17,28-04-2025 15:47,399025,11,18,1531,12875,1045,32,139.1818182,301.2536533,1357,27,715.2777778,612.8789157,36103.00107,72.67715055,14250.89286,17857.49709,59285,0,331355,33135.5,27792.76789,74489,162,399025,23472.05882,27431.71569,69900,0,0,0,0,0,88,144,27.56719504,45.10995552,27,1357,525.4333333,595.2229187,354290.323,0,0,0,0,0,0,0,0,1,543.5517241,139.1818182,715.2777778,0,0,0,0,0,0,11,1531,18,12875,-1,-1,11,0,0,0,0,0,0,0,0,0,normal,0
